Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	2D_1 Spectral Count	2D_2 Spectral Count	2D_3 Spectral Count	3D_1 Spectral Count	3D_2 Spectral Count	3D_3 Spectral Count	2D_1 Unique Spectral Count	2D_2 Unique Spectral Count	2D_3 Unique Spectral Count	3D_1 Unique Spectral Count	3D_2 Unique Spectral Count	3D_3 Unique Spectral Count	2D_1 Total Spectral Count	2D_2 Total Spectral Count	2D_3 Total Spectral Count	3D_1 Total Spectral Count	3D_2 Total Spectral Count	3D_3 Total Spectral Count	2D_1 Intensity	2D_2 Intensity	2D_3 Intensity	3D_1 Intensity	3D_2 Intensity	3D_3 Intensity	2D_1 MaxLFQ Intensity	2D_2 MaxLFQ Intensity	2D_3 MaxLFQ Intensity	3D_1 MaxLFQ Intensity	3D_2 MaxLFQ Intensity	3D_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|O00560|SDCB1_HUMAN	O00560	SDCB1_HUMAN	SDCBP	298	Homo sapiens	1:Experimental evidence at protein level	Syntenin-1	1.0	0.999	9	59	59	59	6	5	10	16	11	11	6	5	10	16	11	11	6	5	10	16	11	11	3.1720228E7	3.570724E7	3.9993424E7	5.5714212E7	4.4396336E7	4.2828292E7	7725284.0	8591726.0	7378661.0	1.0898733E7	9995811.0	9568018.0	
sp|O00566|MPP10_HUMAN	O00566	MPP10_HUMAN	MPHOSPH10	681	Homo sapiens	1:Experimental evidence at protein level	U3 small nucleolar ribonucleoprotein protein MPP10	1.0	0.999	13	117	117	117	19	25	21	16	18	18	19	25	21	16	18	18	19	25	21	16	18	18	8.591252E7	1.182142E8	8.861693E7	4.537998E7	4.5726544E7	5.9732016E7	1.7231818E7	2.488161E7	1.7499258E7	1.0393304E7	1.0916167E7	1.1763067E7	
sp|O00567|NOP56_HUMAN	O00567	NOP56_HUMAN	NOP56	594	Homo sapiens	1:Experimental evidence at protein level	Nucleolar protein 56	1.0	0.999	30	496	496	496	81	94	83	76	87	75	81	94	83	76	87	75	81	94	83	76	87	75	4.14828E8	5.8981165E8	4.0730675E8	3.2899888E8	3.316415E8	3.0503024E8	4.240466E7	6.3870772E7	4.2859344E7	3.4343492E7	3.690683E7	3.2867212E7	
sp|O00571|DDX3X_HUMAN	O00571	DDX3X_HUMAN	DDX3X	662	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX3X	1.0	0.999	38	480	92	513	79	76	79	92	78	76	15	10	15	18	18	16	86	82	85	96	82	82	5.5460576E8	6.683312E8	6.6741504E8	5.125193E8	4.9043683E8	5.2010262E8	9.2726664E7	9.964103E7	1.06562664E8	8.7879384E7	8.387891E7	9.339531E7	
sp|O00584|RNT2_HUMAN	O00584	RNT2_HUMAN	RNASET2	256	Homo sapiens	1:Experimental evidence at protein level	Ribonuclease T2	1.0	0.999	4	25	25	25	6	3	5	5	3	3	6	3	5	5	3	3	6	3	5	5	3	3	7208697.0	1.1153123E7	7091875.5	9296462.0	5713270.0	2086731.4	2730110.0	4462091.0	2663266.2	3547265.5	3006019.2	0.0	
sp|O00591|GBRP_HUMAN	O00591	GBRP_HUMAN	GABRP	440	Homo sapiens	1:Experimental evidence at protein level	Gamma-aminobutyric acid receptor subunit pi	1.0	0.999	3	15	15	15	3	2	2	2	2	4	3	2	2	2	2	4	3	2	2	2	2	4	7652617.0	6097818.0	4034752.0	3758225.8	4229700.0	9080009.0	4774475.5	0.0	0.0	0.0	0.0	4564539.5	
sp|O00622|CCN1_HUMAN	O00622	CCN1_HUMAN	CCN1	381	Homo sapiens	1:Experimental evidence at protein level	CCN family member 1	1.0	0.999	5	19	19	19	7	6	6	0	0	0	7	6	6	0	0	0	7	6	6	0	0	0	1.6511396E7	1.4230048E7	1.3385233E7	5197178.0	0.0	931837.25	5683631.5	6257998.5	5389342.5	0.0	0.0	0.0	
sp|O00625|PIR_HUMAN	O00625	PIR_HUMAN	PIR	290	Homo sapiens	1:Experimental evidence at protein level	Pirin	1.0	0.999	15	153	153	153	15	19	16	33	40	30	15	19	16	33	40	30	15	19	16	33	40	30	5.435644E7	7.077406E7	6.1625904E7	1.4512901E8	1.5890126E8	2.028824E8	1.3084896E7	1.3481317E7	1.5259415E7	2.6749762E7	2.7062258E7	2.7532716E7	
sp|O00629|IMA3_HUMAN	O00629	IMA3_HUMAN	KPNA4	521	Homo sapiens	1:Experimental evidence at protein level	Importin subunit alpha-3	1.0	0.999	17	206	126	206	35	36	30	34	36	35	23	25	15	19	22	22	35	36	30	34	36	35	2.2551642E8	2.1359525E8	2.2034736E8	1.8899674E8	1.7501208E8	1.8959446E8	4.2141696E7	3.857945E7	4.5721384E7	3.5672624E7	3.5562628E7	4.037471E7	
sp|O00712|NFIB_HUMAN	O00712	NFIB_HUMAN	NFIB	420	Homo sapiens	1:Experimental evidence at protein level	Nuclear factor 1 B-type	1.0	0.999	5	26	26	27	5	6	3	5	3	4	5	6	3	5	3	4	5	6	3	6	3	4	1.5532658E7	1.8831424E7	9329422.0	1.3657834E7	8046472.0	7138737.5	5848197.5	7472643.0	5028024.0	4119032.8	4278953.0	3861406.2	
sp|O00743|PPP6_HUMAN	O00743	PPP6_HUMAN	PPP6C	305	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 6 catalytic subunit	1.0	0.999	9	71	71	71	12	12	13	15	9	10	12	12	13	15	9	10	12	12	13	15	9	10	4.0958796E7	4.107735E7	3.7012296E7	3.4938936E7	3.3226104E7	3.1496918E7	9001524.0	1.0138977E7	8389410.0	8863067.0	8019391.0	8278576.5	
sp|O00754|MA2B1_HUMAN	O00754	MA2B1_HUMAN	MAN2B1	1011	Homo sapiens	1:Experimental evidence at protein level	Lysosomal alpha-mannosidase	1.0	0.999	8	51	51	51	7	9	8	9	12	6	7	9	8	9	12	6	7	9	8	9	12	6	2.457024E7	2.6057512E7	2.1448362E7	2.7400906E7	2.662525E7	2.352946E7	6721746.5	6623472.0	6890756.0	7007826.0	6375145.5	6963415.0	
sp|O00762|UBE2C_HUMAN	O00762	UBE2C_HUMAN	UBE2C	179	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 C	1.0	0.999	9	64	64	64	14	11	12	7	8	12	14	11	12	7	8	12	14	11	12	7	8	12	5.023065E7	5.2354412E7	5.81886E7	3.479624E7	4.569902E7	4.01622E7	1.1461097E7	1.2242913E7	1.3204944E7	1.0562362E7	1.0141003E7	9646660.0	
sp|O00764|PDXK_HUMAN	O00764	PDXK_HUMAN	PDXK	312	Homo sapiens	1:Experimental evidence at protein level	Pyridoxal kinase	1.0	0.999	18	270	270	270	47	47	42	43	49	42	47	47	42	43	49	42	47	47	42	43	49	42	4.2746262E8	4.2937872E8	4.0058922E8	3.4803462E8	3.9948995E8	3.478522E8	7.380656E7	7.9555096E7	7.0218584E7	6.0326372E7	6.9143224E7	6.140956E7	
sp|O00767|SCD_HUMAN	O00767	SCD_HUMAN	SCD	359	Homo sapiens	1:Experimental evidence at protein level	Stearoyl-CoA desaturase	1.0	0.999	5	51	51	51	11	14	9	4	7	6	11	14	9	4	7	6	11	14	9	4	7	6	1.1591402E8	1.927536E8	9.787803E7	5.028375E7	4.0692136E7	4.829764E7	5.452495E7	8.148877E7	4.7644956E7	2.4409518E7	2.860579E7	3.419916E7	
sp|O14494|PLPP1_HUMAN	O14494	PLPP1_HUMAN	PLPP1	284	Homo sapiens	1:Experimental evidence at protein level	Phospholipid phosphatase 1	0.9316	0.9963	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1739248.0	900601.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14497|ARI1A_HUMAN	O14497	ARI1A_HUMAN	ARID1A	2285	Homo sapiens	1:Experimental evidence at protein level	AT-rich interactive domain-containing protein 1A	1.0	0.999	12	51	51	51	5	9	9	9	11	8	5	9	9	9	11	8	5	9	9	9	11	8	1.908271E7	2.2338012E7	2.4180034E7	1.8462732E7	2.42845E7	3.6704444E7	6001888.5	5900426.5	5636369.0	5275371.0	4950786.0	6116669.0	
sp|O14519|CDKA1_HUMAN	O14519	CDKA1_HUMAN	CDK2AP1	115	Homo sapiens	1:Experimental evidence at protein level	Cyclin-dependent kinase 2-associated protein 1	0.9996	0.999	2	3	3	3	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	2	1	0.0	0.0	0.0	0.0	7114251.0	2555416.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14521|DHSD_HUMAN	O14521	DHSD_HUMAN	SDHD	159	Homo sapiens	1:Experimental evidence at protein level	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial	0.9994	0.999	2	9	9	9	2	0	0	3	3	1	2	0	0	3	3	1	2	0	0	3	3	1	1401800.4	1819138.6	1414938.0	3028247.5	1704675.0	1549996.5	0.0	1415599.0	0.0	2460984.0	1096733.8	0.0	
sp|O14524|NEMP1_HUMAN	O14524	NEMP1_HUMAN	NEMP1	444	Homo sapiens	1:Experimental evidence at protein level	Nuclear envelope integral membrane protein 1	0.9803	0.999	1	5	5	5	2	1	2	0	0	0	2	1	2	0	0	0	2	1	2	0	0	0	3426848.2	5483884.0	3207148.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14525|ASTN1_HUMAN	O14525	ASTN1_HUMAN	ASTN1	1302	Homo sapiens	1:Experimental evidence at protein level	Astrotactin-1	0.817	0.989	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14529|CUX2_HUMAN	O14529	CUX2_HUMAN	CUX2	1486	Homo sapiens	1:Experimental evidence at protein level	Homeobox protein cut-like 2	0.9707	0.999	2	7	2	7	0	1	2	1	0	3	0	1	1	0	0	0	0	1	2	1	0	3	2304661.8	5273958.0	5503167.0	2719946.8	2731492.8	2037217.4	0.0	3044009.2	3169107.2	0.0	0.0	0.0	
sp|O14530|TXND9_HUMAN	O14530	TXND9_HUMAN	TXNDC9	226	Homo sapiens	1:Experimental evidence at protein level	Thioredoxin domain-containing protein 9	1.0	0.999	5	26	26	26	4	4	3	4	6	5	4	4	3	4	6	5	4	4	3	4	6	5	1.3378771E7	1.68197E7	2.1048656E7	1.7321024E7	2.0286944E7	2.1530636E7	4851145.5	5221566.0	6373975.5	6027008.0	7117529.5	6573654.0	
sp|O14545|TRAD1_HUMAN	O14545	TRAD1_HUMAN	TRAFD1	582	Homo sapiens	1:Experimental evidence at protein level	TRAF-type zinc finger domain-containing protein 1	0.9803	0.999	1	12	12	12	3	2	2	2	1	2	3	2	2	2	1	2	3	2	2	2	1	2	2075468.8	1917851.0	1928053.8	2294215.5	1926005.9	1621274.6	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14548|CO72L_HUMAN	O14548	CO72L_HUMAN	COX7A2L	114	Homo sapiens	1:Experimental evidence at protein level	Cytochrome c oxidase subunit 7A2-like, mitochondrial	1.0	0.999	4	38	38	38	7	8	7	7	5	4	7	8	7	7	5	4	7	8	7	7	5	4	4.5537216E7	5.7201936E7	4.4997704E7	3.6250604E7	3.4227216E7	2.9346992E7	2.3259776E7	3.1081468E7	2.2211204E7	1.8732276E7	1.8098176E7	1.6665255E7	
sp|O14556|G3PT_HUMAN	O14556	G3PT_HUMAN	GAPDHS	408	Homo sapiens	1:Experimental evidence at protein level	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific	0.9803	0.999	2	2	2	136	2	0	0	0	0	0	2	0	0	0	0	0	15	8	12	29	40	32	4.162713E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14561|ACPM_HUMAN	O14561	ACPM_HUMAN	NDUFAB1	156	Homo sapiens	1:Experimental evidence at protein level	Acyl carrier protein, mitochondrial	1.0	0.999	2	37	37	37	9	10	6	4	4	4	9	10	6	4	4	4	9	10	6	4	4	4	1.1025115E8	1.2204585E8	1.0113996E8	1.0819234E8	1.1726027E8	1.0895116E8	4.748051E7	5.3921276E7	4.6737956E7	4.2044936E7	4.8596856E7	4.4081732E7	
sp|O14562|UBFD1_HUMAN	O14562	UBFD1_HUMAN	UBFD1	309	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin domain-containing protein UBFD1	1.0	0.999	9	51	51	51	6	7	6	12	11	9	6	7	6	12	11	9	6	7	6	12	11	9	1.4480064E7	1.5108568E7	1.654404E7	2.2928886E7	2.9344338E7	2.214466E7	4939546.5	5096228.5	6049934.5	6463318.0	7167143.5	6410595.5	
sp|O14569|C56D2_HUMAN	O14569	C56D2_HUMAN	CYB561D2	222	Homo sapiens	1:Experimental evidence at protein level	Transmembrane reductase CYB561D2	0.9803	0.999	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0.0	2142808.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14576|DC1I1_HUMAN	O14576	DC1I1_HUMAN	DYNC1I1	645	Homo sapiens	1:Experimental evidence at protein level	Cytoplasmic dynein 1 intermediate chain 1	0.9803	0.999	1	4	4	4	0	0	1	0	1	2	0	0	1	0	1	2	0	0	1	0	1	2	0.0	0.0	3316460.2	0.0	4607634.5	3772194.5	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14578|CTRO_HUMAN	O14578	CTRO_HUMAN	CIT	2027	Homo sapiens	1:Experimental evidence at protein level	Citron Rho-interacting kinase	1.0	0.999	7	16	16	16	4	4	2	2	3	1	4	4	2	2	3	1	4	4	2	2	3	1	1.0037281E7	9573108.0	1.3270613E7	1.2301207E7	6513215.5	6372191.5	4761792.5	6563193.0	8630167.0	5341343.0	4580570.5	5965897.0	
sp|O14579|COPE_HUMAN	O14579	COPE_HUMAN	COPE	308	Homo sapiens	1:Experimental evidence at protein level	Coatomer subunit epsilon	1.0	0.999	19	281	281	281	47	37	46	53	49	49	47	37	46	53	49	49	47	37	46	53	49	49	2.8236928E8	2.9511715E8	2.5434773E8	3.083988E8	3.270888E8	2.5022915E8	6.8322024E7	5.931561E7	5.917393E7	6.863851E7	6.609429E7	5.970323E7	
sp|O14613|BORG1_HUMAN	O14613	BORG1_HUMAN	CDC42EP2	210	Homo sapiens	1:Experimental evidence at protein level	Cdc42 effector protein 2	0.9803	0.999	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	2257634.5	1339589.5	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14617|AP3D1_HUMAN	O14617	AP3D1_HUMAN	AP3D1	1153	Homo sapiens	1:Experimental evidence at protein level	AP-3 complex subunit delta-1	1.0	0.999	19	131	131	131	21	17	20	25	24	24	21	17	20	25	24	24	21	17	20	25	24	24	9.512871E7	7.623022E7	8.801665E7	8.18985E7	1.0399077E8	9.052947E7	1.5006142E7	1.3962062E7	1.4773351E7	1.4057509E7	1.4585267E7	1.4586051E7	
sp|O14618|CCS_HUMAN	O14618	CCS_HUMAN	CCS	274	Homo sapiens	1:Experimental evidence at protein level	Copper chaperone for superoxide dismutase	1.0	0.999	8	46	46	46	7	1	7	10	10	11	7	1	7	10	10	11	7	1	7	10	10	11	2.173206E7	1.6723736E7	2.0280486E7	3.377976E7	2.9175404E7	3.9268372E7	6385435.5	4855950.0	5507891.5	7248826.5	6678437.5	7772400.5	
sp|O14639|ABLM1_HUMAN	O14639	ABLM1_HUMAN	ABLIM1	778	Homo sapiens	1:Experimental evidence at protein level	Actin-binding LIM protein 1	1.0	0.999	15	97	97	97	14	14	14	17	19	19	14	14	14	17	19	19	14	14	14	17	19	19	5.9398456E7	7.656985E7	4.52327E7	7.802413E7	7.262793E7	7.248963E7	1.3909909E7	1.4716005E7	1.3579419E7	1.5592899E7	1.6100678E7	1.5722248E7	
sp|O14646|CHD1_HUMAN	O14646	CHD1_HUMAN	CHD1	1710	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent chromatin remodeler CHD1	1.0	0.999	10	61	38	61	11	16	13	5	7	9	7	12	10	1	3	5	11	16	13	5	7	9	3.6791052E7	5.4259916E7	4.241901E7	1.8111614E7	2.2335244E7	1.76307E7	7314789.0	8205350.5	7243250.5	4875811.5	5291464.0	4836684.5	
sp|O14647|CHD2_HUMAN	O14647	CHD2_HUMAN	CHD2	1828	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent chromatin remodeler CHD2	1.0	0.999	9	12	12	35	1	2	1	2	5	1	1	2	1	2	5	1	5	6	4	6	9	5	6026251.0	1.078137E7	3925373.0	3.1682317E8	1.311706E7	9506883.0	8647764.0	7712037.5	5087277.0	1.3278334E7	7557804.0	7494503.0	
sp|O14653|GOSR2_HUMAN	O14653	GOSR2_HUMAN	GOSR2	212	Homo sapiens	1:Experimental evidence at protein level	Golgi SNAP receptor complex member 2	1.0	0.999	7	19	19	19	5	5	1	5	1	2	5	5	1	5	1	2	5	5	1	5	1	2	7.498649E7	2.8309196E7	5.086077E7	3004551.0	8672352.0	1.8425264E7	1.4806461E7	1.2828996E7	1.2052941E7	1.0624005E7	1.0202254E7	1.0276433E7	
sp|O14656|TOR1A_HUMAN	O14656	TOR1A_HUMAN	TOR1A	332	Homo sapiens	1:Experimental evidence at protein level	Torsin-1A	0.9803	0.999	1	7	7	7	2	2	2	1	0	0	2	2	2	1	0	0	2	2	2	1	0	0	6131657.5	6667403.0	6041731.5	3441151.5	3198058.5	2467710.5	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14657|TOR1B_HUMAN	O14657	TOR1B_HUMAN	TOR1B	336	Homo sapiens	1:Experimental evidence at protein level	Torsin-1B	1.0	0.999	3	4	4	4	1	1	2	0	0	0	1	1	2	0	0	0	1	1	2	0	0	0	3241489.8	3836119.0	5878684.5	0.0	0.0	2097249.2	2546236.5	2334748.8	2563700.5	0.0	0.0	0.0	
sp|O14662|STX16_HUMAN	O14662	STX16_HUMAN	STX16	325	Homo sapiens	1:Experimental evidence at protein level	Syntaxin-16	0.9996	0.999	2	5	5	5	0	0	1	2	0	2	0	0	1	2	0	2	0	0	1	2	0	2	0.0	0.0	5916626.0	3636555.5	4191909.5	9765818.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14672|ADA10_HUMAN	O14672	ADA10_HUMAN	ADAM10	748	Homo sapiens	1:Experimental evidence at protein level	Disintegrin and metalloproteinase domain-containing protein 10	1.0	0.999	35	428	428	428	83	99	77	56	57	56	83	99	77	56	57	56	83	99	77	56	57	56	2.9214982E8	3.954107E8	3.188531E8	1.9100237E8	2.3070354E8	2.412014E8	2.8841136E7	4.0360404E7	3.0623954E7	2.1093542E7	2.1457988E7	2.1265072E7	
sp|O14681|EI24_HUMAN	O14681	EI24_HUMAN	EI24	340	Homo sapiens	1:Experimental evidence at protein level	Etoposide-induced protein 2.4 homolog	0.9803	0.999	1	6	6	6	2	0	0	2	2	0	2	0	0	2	2	0	2	0	0	2	2	0	4226441.0	4362949.5	2692479.2	3566923.2	2915677.2	2929223.2	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14727|APAF_HUMAN	O14727	APAF_HUMAN	APAF1	1248	Homo sapiens	1:Experimental evidence at protein level	Apoptotic protease-activating factor 1	0.9996	0.999	2	5	5	5	0	1	1	0	2	1	0	1	1	0	2	1	0	1	1	0	2	1	3176290.0	5110508.0	3632301.0	3907881.0	2324284.5	1800888.4	1844362.0	2954909.0	1966677.4	2259676.2	0.0	0.0	
sp|O14730|RIOK3_HUMAN	O14730	RIOK3_HUMAN	RIOK3	519	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein kinase RIO3	0.9995	0.9987	3	6	6	6	0	0	2	1	0	3	0	0	2	1	0	3	0	0	2	1	0	3	1922696.2	2665076.2	2541564.8	2299353.2	3544074.5	4456846.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14732|IMPA2_HUMAN	O14732	IMPA2_HUMAN	IMPA2	288	Homo sapiens	1:Experimental evidence at protein level	Inositol monophosphatase 2	1.0	0.999	3	17	17	17	1	1	3	4	4	4	1	1	3	4	4	4	1	1	3	4	4	4	4461777.0	3958203.8	4427659.0	5652751.0	3688766.0	7740978.5	2281631.2	2100215.0	2495435.8	3112318.2	2744141.5	3219281.5	
sp|O14734|ACOT8_HUMAN	O14734	ACOT8_HUMAN	ACOT8	319	Homo sapiens	1:Experimental evidence at protein level	Acyl-coenzyme A thioesterase 8	0.9996	0.999	2	18	18	18	3	4	3	3	3	2	3	4	3	3	3	2	3	4	3	3	3	2	1.099504E7	1.2295965E7	6649654.0	7499885.0	7821294.0	8120256.0	8528312.0	1.1598777E7	0.0	5628744.0	7047152.0	0.0	
sp|O14735|CDIPT_HUMAN	O14735	CDIPT_HUMAN	CDIPT	213	Homo sapiens	1:Experimental evidence at protein level	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	0.9803	0.999	1	11	11	11	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	5426032.0	5119529.0	3969486.0	2943257.8	3484881.2	3318081.8	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14737|PDCD5_HUMAN	O14737	PDCD5_HUMAN	PDCD5	125	Homo sapiens	1:Experimental evidence at protein level	Programmed cell death protein 5	1.0	0.999	7	136	136	136	23	18	24	25	24	22	23	18	24	25	24	22	23	18	24	25	24	22	1.519475E8	1.4270392E8	1.5513008E8	1.6265251E8	1.4700346E8	1.5392176E8	3.9558516E7	3.7087148E7	4.0042492E7	4.146842E7	3.69996E7	4.0148636E7	
sp|O14744|ANM5_HUMAN	O14744	ANM5_HUMAN	PRMT5	637	Homo sapiens	1:Experimental evidence at protein level	Protein arginine N-methyltransferase 5	1.0	0.999	26	265	265	265	47	41	48	43	43	43	47	41	48	43	43	43	47	41	48	43	43	43	2.4056384E8	2.340184E8	2.2628302E8	2.2062872E8	2.2450146E8	2.5468562E8	3.4692172E7	3.570756E7	3.4120624E7	3.413397E7	3.5385616E7	3.2439052E7	
sp|O14745|NHRF1_HUMAN	O14745	NHRF1_HUMAN	NHERF1	358	Homo sapiens	1:Experimental evidence at protein level	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	1.0	0.999	21	381	381	381	72	65	55	66	61	62	72	65	55	66	61	62	72	65	55	66	61	62	5.0489894E8	4.3082563E8	4.203856E8	4.3984173E8	3.7996992E8	3.9800077E8	6.0314704E7	4.884438E7	4.7892344E7	4.9885556E7	4.528577E7	4.5744024E7	
sp|O14757|CHK1_HUMAN	O14757	CHK1_HUMAN	CHEK1	476	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein kinase Chk1	0.9803	0.999	1	2	2	2	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0.0	0.0	2076007.2	0.0	1973616.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14773|TPP1_HUMAN	O14773	TPP1_HUMAN	TPP1	563	Homo sapiens	1:Experimental evidence at protein level	Tripeptidyl-peptidase 1	1.0	0.999	7	119	119	119	21	22	18	19	17	22	21	22	18	19	17	22	21	22	18	19	17	22	1.2778375E8	1.166469E8	9.932596E7	1.1364263E8	8.637418E7	9.4261576E7	3.4633748E7	3.6782828E7	3.0952664E7	3.7277864E7	2.9104946E7	3.002424E7	
sp|O14776|TCRG1_HUMAN	O14776	TCRG1_HUMAN	TCERG1	1098	Homo sapiens	1:Experimental evidence at protein level	Transcription elongation regulator 1	1.0	0.999	31	224	211	224	35	37	39	41	37	35	32	35	36	40	35	33	35	37	39	41	37	35	1.4734026E8	1.519612E8	1.546656E8	1.577632E8	1.2719757E8	1.3466046E8	1.3908099E7	1.3652234E7	1.4394715E7	1.3904411E7	1.3513956E7	1.3432386E7	
sp|O14777|NDC80_HUMAN	O14777	NDC80_HUMAN	NDC80	642	Homo sapiens	1:Experimental evidence at protein level	Kinetochore protein NDC80 homolog	1.0	0.999	5	27	27	27	6	6	4	4	4	3	6	6	4	4	4	3	6	6	4	4	4	3	3.0362554E7	7171457.0	8068458.0	7495891.5	8071184.0	5626201.5	5083917.0	3966514.8	6568368.0	5904586.5	6156232.0	4646478.0	
sp|O14787|TNPO2_HUMAN	O14787	TNPO2_HUMAN	TNPO2	897	Homo sapiens	1:Experimental evidence at protein level	Transportin-2	0.9964	0.999	6	2	2	58	0	0	0	0	1	1	0	0	0	0	1	1	7	9	7	9	14	12	0.0	0.0	0.0	1432559.4	3099588.0	1359444.1	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14791|APOL1_HUMAN	O14791	APOL1_HUMAN	APOL1	398	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein L1	1.0	0.999	11	74	74	74	12	12	9	16	14	11	12	12	9	16	14	11	12	12	9	16	14	11	5.7518796E7	5.1442324E7	4.936307E7	6.538006E7	6.825236E7	5.6786148E7	1.5072068E7	1.649811E7	1.3554147E7	1.7113568E7	1.728961E7	1.8550522E7	
sp|O14818|PSA7_HUMAN	O14818	PSA7_HUMAN	PSMA7	248	Homo sapiens	1:Experimental evidence at protein level	Proteasome subunit alpha type-7	1.0	0.999	20	334	193	334	57	52	52	58	57	58	33	29	31	31	35	34	57	52	52	58	57	58	4.7258694E8	5.0995904E8	4.898317E8	4.9354618E8	5.245726E8	5.375548E8	7.4567144E7	7.972101E7	8.143906E7	7.936713E7	8.373055E7	8.651574E7	
sp|O14828|SCAM3_HUMAN	O14828	SCAM3_HUMAN	SCAMP3	347	Homo sapiens	1:Experimental evidence at protein level	Secretory carrier-associated membrane protein 3	1.0	0.999	8	89	89	89	19	10	11	17	16	16	19	10	11	17	16	16	19	10	11	17	16	16	1.3393421E8	4.6979064E7	1.1678166E8	1.3779754E8	1.4021557E8	1.706503E8	5.5258764E7	4.764137E7	5.2780012E7	5.876198E7	6.2954676E7	6.1088036E7	
sp|O14832|PAHX_HUMAN	O14832	PAHX_HUMAN	PHYH	338	Homo sapiens	1:Experimental evidence at protein level	Phytanoyl-CoA dioxygenase, peroxisomal	1.0	0.999	3	4	4	4	2	1	0	1	0	0	2	1	0	1	0	0	2	1	0	1	0	0	8009257.5	7564834.0	1726005.6	5696240.0	0.0	0.0	3308133.0	3274117.0	0.0	0.0	0.0	0.0	
sp|O14841|OPLA_HUMAN	O14841	OPLA_HUMAN	OPLAH	1288	Homo sapiens	1:Experimental evidence at protein level	5-oxoprolinase	1.0	0.999	8	12	12	12	0	0	1	2	7	2	0	0	1	2	7	2	0	0	1	2	7	2	2527333.0	1165578.1	3748076.0	1.1217558E7	1.48734E7	6496625.0	2052581.2	0.0	2886893.0	2899746.2	3550832.0	3585080.2	
sp|O14874|BCKD_HUMAN	O14874	BCKD_HUMAN	BCKDK	412	Homo sapiens	1:Experimental evidence at protein level	Branched-chain alpha-ketoacid dehydrogenase kinase	1.0	0.999	5	16	16	16	4	4	2	2	2	2	4	4	2	2	2	2	4	4	2	2	2	2	5892498.5	2.3486064E7	8552516.0	7112191.0	1.11147E7	1.033297E7	5349051.5	8134894.5	5297396.5	5700718.5	6257836.0	4476457.5	
sp|O14880|MGST3_HUMAN	O14880	MGST3_HUMAN	MGST3	152	Homo sapiens	1:Experimental evidence at protein level	Glutathione S-transferase 3, mitochondrial	1.0	0.999	7	130	130	130	22	26	21	22	23	16	22	26	21	22	23	16	22	26	21	22	23	16	7.978955E7	1.2344159E8	5.1094972E7	7.507172E7	8.0698376E7	7.07124E7	3.16937E7	4.8894692E7	3.0029534E7	3.0567172E7	3.3268988E7	3.3792148E7	
